lang,item_code,synonym,note
ko,A0013,돼지꼬리살,
ko,A0013,꼬리,
ko,A0013,돈꼬리,
ko,A0013,돈꼬리살,
ko,A0013,돼지테일,
ko,A0013,포크테일,
ko,A0013,꼬리뼈,
ko,A0013,돼지꼬리뼈,
ko,B0023,삼겹,
ko,B0023,돼지삼겹,
ko,B0023,돼지삼겹살,
ko,B0023,생삼겹,
ko,B0023,생삼겹살,
ko,B0023,통삼겹,
ko,B0023,통삼겹살,
ko,B0023,오겹,
ko,B0023,오겹살,
ko,A0022,후지살,
ko,A0022,돼지후지,
ko,A0022,돼지후지살,
ko,A0022,돼지후지살고기,
ko,A0022,돼지뒷다리,
ko,A0022,돼지뒷다리살,
ko,A0022,뒷다리,
ko,A0022,뒷다리살,
ko,A0022,뒷다리고기,
ko,A0022,돼지뒷다리고기,
ko,A0031,후지슬라이스살,
ko,A0031,후지슬라이스고기,
ko,A0031,후지슬라이스육,
ko,A0031,후지,
ko,A0031,후지살,
ko,A0031,후지얇은슬라이스,
ko,A0031,후지얇게썬것,
ko,A0031,돼지후지슬라이스,
ko,A0031,돼지후지,
ko,A0031,돼지후지살,
ko,A0031,돼지뒷다리슬라이스,
ko,A0031,돼지뒷다리살슬라이스,
ko,A0031,돼지뒷다리,
ko,A0031,돼지뒷다리살,
ko,A0031,뒷다리슬라이스,
ko,A0031,뒷다리살슬라이스,
ko,A0031,뒷다리,
ko,A0031,뒷다리살,
ko,A0024,전지살,
ko,A0024,돼지전지,
ko,A0024,돼지전지살,
ko,A0024,앞다리,
ko,A0024,앞다리살,
ko,A0024,돼지앞다리,
ko,A0024,돼지앞다리살,
ko,A0024,전지육,
ko,A0024,앞다리고기,
ko,A0026,소꼬리살,
ko,A0026,꼬리,
ko,A0026,우꼬리,
ko,A0026,우미,
ko,A0026,소테일,
ko,A0026,비프테일,
ko,A0026,꼬리뼈,
ko,A0026,소꼬리뼈,
th,A0013,หางหมู,
th,B0023,หมูสามชั้น,
th,B0023,สามชั้น,
th,A0026,หางวัว,
