lang,expr,type,grams,note
ko,kg,weight,1000,
ko,킬로,weight,1000,
ko,키로,weight,1000,
ko,킬로그램,weight,1000,
ko,g,weight,1,
ko,그램,weight,1,
ko,그람,weight,1,
ko,근,weight,600,정육 기준 600g
ko,관,weight,3750,
ko,개,count,,
ko,팩,count,,
ko,봉,count,,
ko,봉지,count,,
ko,박스,count,,
ko,통,count,,
ko,마리,count,,
ko,줄,count,,
ko,세트,count,,
ko,판,count,,
ko,장,count,,
ko,포,count,,
th,kg,weight,1000,
th,กก.,weight,1000,
th,กิโล,weight,1000,
th,กิโลกรัม,weight,1000,
th,ขีด,weight,100,태국에서 흔히 쓰는 100g 단위
th,g,weight,1,
th,กรัม,weight,1,
th,ชิ้น,count,,
th,แพ็ค,count,,
th,กล่อง,count,,
th,ถุง,count,,
th,ห่อ,count,,
th,ตัว,count,,
th,ชุด,count,,
